type	location	adress	city	Phone-number	fax 	website	email	additional-information
British Consulate	Perth, Australia	Level 12, 251 Adelaide Terrace, Perth WA 6000, Australia	City Perth	+61 (0)8 9224 4700				Office Hours Mondays to Friday: 9.00am to 5.00pm
British Embassy	Manama, Bahrain	21 Government Avenue, P O Box 114, Manama 306, Kingdom of Bahrain	City Manama	+ 973 17574100	+973 17574101	http://www.gov.uk/government/world/bahrain		Office Hours Sunday to Thursday, 04:30am to 1130am GMT Sunday to Thursday, 07:30 to 02:30pm Local
British Embassy	Algiers, Algeria	Ambassade Britannique, 3 Chemin Capitaine Hocine Slimane, (ex Chemin des Glycines), Hydra Algiers, Algeria	City Algiers	+213 (0) 770 085 000	+213 (0) 770 08 50 99	http://ukinalgeria.fco.gov.uk	BritishEmbassy.Algiers@fco.gov.uk	Office Hours Sunday to Thursday, 7am to 2:30pm (GMT) Sunday to Thursday, 8am to 3:30pm (Local Time)
British Embassy	Sana'a, Yemen	British Embassy /938 Thahr Himyar Street, PO Box 1287 East Ring Road, Yemen	City Sana'a	+967 1 302 480/1/2/3/4/5	+967 1 302454	http://www.gov.uk/government/world/yemen	britishembassysanaa@fco.gov.uk	Office Hours Sunday to Thursday, 8am to 3:30pm (5am to 12:30pm GMT)
British High Commission	Lusaka, Zambia	5210 Independence Avenue, PO Box 50050, 15101 Ridgeway, Lusaka, Zambia	City Lusaka	+260 211 423 200	+260 211 423 278	http://www.gov.uk/government/world/zambia	LusakaGeneralEnquiries@fco.gov.uk	
British Consulate General	Cape Town, South Africa	15th Floor, Norton Rose House, 8 Riebeek Street, Foreshore, Cape Town 8000 South Africa	City Cape Town	+27 21 405 2400	+27 21 405 2455		Consular.SectionCT@fco.gov.uk	
British Consulate General	Los Angeles, United States	2029 Century Park East, Suite 1350, Los Angeles CA 90067, USA	City Los Angeles	+1 310 789 0031		http://ukinusa.fco.gov.uk/la/		
British Consulate	Alicante, Spain	Edificio Espacio , Rambla Méndez Núñez 28-32 , 6ª planta 03002 Alicante Spain	City Alicante	902 109 356	+34 965 14 05 28		spain.consulate@fco.gov.uk	
British Consulate	Denver, United States	This location is closed		0				
British Consulate	Hodeidah, Yemen	PO Box 3337, Sana'a Road, KM7, Hodeidah, Yemen	City Hodeidah	(+967) (3) 238 130 / 1 (+967) (3) 238 958	(+967) (3) 211 533 / (+967) (3) 238 269			
British Consulate	Ibiza, Spain	Avenida Isidoro Macabich, 45-1, (corner with Calle Canarias), 07800 Ibiza, Spain	City Ibiza	902 109 356	+34 971 301 972		spain.consulate@fco.gov.uk	
British Consulate	Las Palmas de Gran Canaria, Spain	Edificio Cataluña , Calle Luis Morote 6-3, 35007 - Las Palmas de Gran Canaria, Spain	City Las Palmas de Gran Canaria	902 109 356	+34 928 267 774		spain.consulate@fco.gov.uk	
British Consulate	Madrid, Spain	Torre Espacio , Paseo de la Castellana 259D, 28046 Madrid	City Madrid	902 109 356	+34 917 146 403		spain.consulate@fco.gov.uk	
British Consulate	Malaga, Spain	Calle Mauricio Moro Pareto, 2 , Edificio Eurocom, 29006 Malaga, Spain	City Malaga	902 109 356	+34 95 235 9211		spain.consulate@fco.gov.uk	
British Consulate	Palma de Mallorca, Spain	Carrer Convent dels Caputxins 4 , Edificio Orisba B - 4 D , 07002 Palma de Mallorca, Spain	City Palma de Mallorca	902 109 356	+34 971 71 75 20		spain.consulate@fco.gov.uk	
British Consulate	Santa Cruz de Tenerife, Spain	Plaza Weyler 8, Santa Cruz de Tenerife 38003, Spain	City Santa Cruz de Tenerife	902 109 356	+34 922 289 903		spain.consulate@fco.gov.uk	
British Consulate-General	Barcelona, Spain	Avenida Diagonal 477 - 13, 08036 Barcelona, Spain	City Barcelona	902 109 356	+34 933 666 221		spain.consulate@fco.gov.uk	
British Consulate-General	Munich, Germany	Möhlstraße 5, 81675 München, Germany	City Munich	+49 (0) 89 211090			ukingermany@fco.gov.uk	
British Embassy	Bangkok, Thailand	14 Wireless Road, Lumpini Pathumwan, Bangkok 10330, Thailand	City Bangkok	+66 (0) 2 305 8333	+66 (0) 2 255 9278	http://www.gov.uk/government/world/thailand	Info.Bangkok@fco.gov.uk	
British Embassy	Berlin, Germany	Wilhelmstraße 70/71, 10117 Berlin, Germany	City Berlin	+49 (0) 30 204 570		http://www.gov.uk/government/world/germany	ukingermany@fco.gov.uk	
British Embassy	Berne, Switzerland	British Embassy, Thunstrasse 50, 3005 Berne, Switzerland	City Berne	+41 (0)31 359 7700	+41 (0)31 359 7701	http://www.gov.uk/government/world/switzerland	info.berne@fco.gsi.gov.uk	
British Embassy	Bucharest, Romania	24 Jules Michelet, 010463 Bucharest, Romania	City Bucharest	+40 (21) 201 7200	+40 (21) 201 7351	http://www.gov.uk/government/world/romania	press.bucharest@fco.gov.uk	
British Embassy	Budapest, Hungary	Harmincad Utca 6, Budapest 1051, Hungary	City Budapest	+36 (1) 266 2888	+36 (1) 429 6296	http://www.gov.uk/government/world/hungary	consular.budapest@fco.gov.uk	
British Embassy	Cairo, Egypt	7 Ahmed Rageb Street, Garden City, Cairo, Egypt	City Cairo	+ 2 (02) 2791 6000	+2 (02) 2791 6133	http://www.gov.uk/government/world/egypt	consular.cairo@fco.gov.uk	
British Embassy	Dublin, Ireland	29 Merrion Road , Ballsbridge, Dublin 4, Ireland	City Dublin	+353 (1) 205 3700	+351 (1) 205 3885	http://www.gov.uk/government/world/ireland		
British Embassy	Harare, Zimbabwe	3 Norfolk Road, Mount Pleasant, Harare, Zimbabwe	City Harare	+263 4 85855200	+263 4 85855284	http://www.gov.uk/government/world/zimbabwe	ukinfo.harare@fco.gov.uk	
British Embassy	Helsinki, Finland	Itainen Puistotie 17, 00140 Helsinki, Finland	City Helsinki	+358 (0) 9 2286 5100	+358 (0) 9 2286 5284	http://www.gov.uk/government/world/finland	info.helsinki@fco.gov.uk/Helsinki.ConsularEnquiries@fco.gov.uk	
British Embassy	Kiev (Kyiv), Ukraine	9 Desyatynna St., Kyiv 01901 Ukraine	City Kiev	+380 44 490 3660	+380 44 490 3662	http://www.gov.uk/government/world/ukraine	ukembinf@gmail.com	
British Embassy	Kinshasa, Congo	83 Avenue du Roi Baudouin Gombe, Kinshasa, Congo	City Kinshasa	+243 81 556 6200	+243 81 346 4291	http://www.gov.uk/government/world/congo	ambassade.britannique@fco.gov.uk	
British Embassy	Lisbon, Portugal	Rua de Sao Bernardo 33, Lisboa 1249 - 082, Portugal	City Lisbon	+351 21 392 40 00	+351 21 392 40 21	http://www.gov.uk/government/world/portugal	ppa.lisbon@fco.gov.uk	
British Embassy	Oslo, Norway	Thomas Heftyesgate 8, Oslo 0244 Norway	City Oslo	(+47) 23 13 27 00	(+47) 23 13 27 41	http://www.gov.uk/government/world/norway	britemb@online.no	
British Embassy	Paris, France	35 rue du Faubourg St Honore, 75383 Paris Cedex 08, France	City Paris	+33 (0) 1 44 51 31 00	+33 (0) 1 44 51 31 09	http://www.gov.uk/government/world/france		
British Embassy	Quito, Ecuador	Citiplaza Building, Naciones Unidas Avenue and República de El Salvador, 14th Floor (Consular Section 12th floor), PO Box 17-17-830, Quito	City Quito	(593) (2) 2970 800 / 801				
British Embassy	Riga, Latvia	5, J.Alunana iela, Riga LV 1010 Latvia	City Riga	+371 6777 4700	+371 6777 4707	http://www.gov.uk/government/world/latvia	britishembassy.riga@fco.gov.uk	
British Embassy	Stockholm, Sweden	Skarpogatan 6-8, Box 27819, 115 93 Stockholm, Sweden	City Stockholm	+46 (0)8 671 30 00	+46 (0)8 662 99 89	http://www.gov.uk/government/world/sweden	Stockholm@fco.gov.uk	
British Embassy	Tallinn, Estonia	Wismari 6, Tallinn 10136, Estonia	City Tallinn	+372 667 4700	+372 667 4725	http://www.gov.uk/government/world/estonia	infotallinn@fco.gov.uk	
British Embassy	Tel Aviv, Israel	192 Hayarkon Street, 6340502 Israel	City Tel Aviv	+972 (0)3 725 1222	+972 (0)3 524 9176	http://www.gov.uk/government/world/israel	webmaster.telaviv@fco.gov.uk	
British Embassy	the Netherlands	Lange Voorhout 10, 2514 ED The Hague, Netherlands	City Hague	+31 (0)70 4270 427	+31 (0)70 4270 345	http://www.gov.uk/government/world/netherlands	ukinnl@fco.gov.uk	
British Embassy	Vienna, Austria	Jauresgasse 12, 1030 Vienna, Austria	City Vienna	+43 (1) 716130	+(43) (1) 71613 2900	http://www.gov.uk/government/world/austria	viennaconsularenquiries@fco.gov.uk	
British High Commission	Dar es Salaam, Tanzania	Umoja House, Garden Avenue, P.O. Box 9200, Dar es Salaam, Tanzania	City Dar es Salaam	+255 (0) 22 229 0000	+255 (22) 211 0102	http://www.gov.uk/government/world/tanzania	bhc.dar@fco.gov.uk	
British High Commission	Dhaka, Bangladesh	United Nations Road, Baridhara , P O Box 6079 Dhaka 1212 , Bangladesh	City Dhaka	+880 2 882 2705	+880 2 988 2819	http://www.gov.uk/government/world/bangladesh	consular.bangladesh@fco.gov.uk	
British High Commission	Kampala, Uganda	4 Windsor Loop, P. O. Box 7070, Kampala, Uganda	City Kampala	+256 (0) 312 312000	+256) (0) 414 257304	http://www.gov.uk/government/world/uganda	Kampala.Bhcinfo@fco.gov.uk	
British High Commission	Kigali, Rwanda	Parcelle No 1131, Boulevard de l'Umuganda, Kacyiru-Sud, Kigali BP 576, Rwanda	City Kigali	+250 252 556000	+250 252 582 044	http://www.gov.uk/government/world/rwanda	BHC.Kigali@fco.gov.uk	
British High Commission	New Delhi, India	Shantipath, Chanakyapuri, New Delhi 110021 India	City New Delhi	+91 (11) 2419 2100	+91 (11) 2419 2492	http://www.gov.uk/government/world/india	web.newdelhi@fco.gov.uk	
British High Commission	Nicosia, Cyprus	Alexander Pallis Street , PO Box 21978, Nicosia 1587 Cyprus	City Nicosia	+357 22 861100	+357 22 861125	http://www.gov.uk/government/world/cyprus	brithc.2@cytanet.com.cy	
British High Commission	Yaounde, Cameroon	Avenue Winston Churchill, P.O Box 547, Yaounde, Centre Region 547 Cameroon	City Yaounde	+237 22 22 07 96 / +237 22 22 05 45	+237 22 22 01 48	http://www.gov.uk/government/world/cameroon	bhc.yaounde@fco.gov.uk	
British Honorary Consul	Mbabane, Swaziland	PO Box A 41, Eveni, Mbabane, H103, Swaziland	City Mbabane	+27 12 421 7500	+27 12 421 7599	http://www.gov.uk/government/world/swaziland	pta.assistanceforbritishnationals@fco.gov.uk	
Embassy of Great Britain	Bogota, Colombia	Carrera 9, No 76-49, Piso 8 , Edificio ING Barings, Bogotá, Colombia	City Bogota	(57) (1) 326 8300		http://www.gov.uk/government/world/colombia	embajadabritanica.bogota@fco.gov.uk	
Honorary British Consul	Paramaribo, Suriname	Vant Hogerhuysstraat, c/o VSH United Buildings, VSH United Building, Paramaribo, Suriname	City Paramaribo	+597 402 870	+597 403 515	http://www.gov.uk/government/world/suriname	jim.healy-honcon@fconet.fco.gov.uk	
